sCode                                              sParentCode                                        sDescription
NGLC                                               !SUMMARY_RPT                                       Новый бухгалтерский куб и сводная ГБК
NOC                                                !SUMMARY_RPT                                       Новый оперативный куб
NPVDRC                                             !MIDDLEWARE                                        Витрина данных калькулятора прогнозирования NPV по ВФЛ
NSI_TRS                                            !GRD                                               ГНСИ. Трансфертные ставки
OAC                                                !SUMMARY_RPT                                       Оперативный бухгалтерский куб
OFD                                                !OTHER                                             Доходные договоры ВХД
OFD2                                               !OTHER                                             Доходные договоры ВХД v2
OLAP                                               !KERNEL_OLAP                                       OLAP-платформа
OLAP_APP                                           !KERNEL_OLAP                                       Прикладные OLAP-кубы
OPEX_DRV                                           !OPEX                                              Драйверы аллокации показателей управленческой отчетности
OPEX_DRV2                                          !OPEX                                              Драйверы аллокации показателей управленческой отчетности v2
OPEX_FA                                            !OPEX                                              Операционные расходы в разрезах УФК (Быстрая аллокация)
OPEX_RB                                            !OPEX                                              Операционные расходы РБ в разрезах MIS
OPEX_SUMMARY                                       !OPEX                                              Консолидированная отчетность по операционным расходам
OPEXCLI                                            !OPEX                                              Аллокация расходов до клиента КИБ
OPEXCLI2                                           !OPEX                                              Аллокация расходов до клиента КИБ v2
OPSDRV                                             !CORP_CLIENT                                       Показатели операционной деятельности и драйверы аллокации расходов КИБ
PATCHLIB                                           !KERNEL                                            Библиотека процедур для изменения метаданных в патчах
PAY                                                !RETAIL_TRN                                        Платежи ФЛ
PL                                                 !CORP_CLIENT                                       Детальный ОПУ
PL_OTH                                             !MIDDLEWARE                                        Прочие корректировки PL
PL2                                                !CORP_CLIENT                                       Детальный ОПУ v2
PLAN_FCST                                          !SUMMARY_RPT                                       Показатели отчетности из внешних источников: План/Прогноз
PNT                                                !RETAIL_TRN                                        Legacy платежи и переводы ФЛ
PRE_LCC                                            !PRE_CORP_ASSET                                    Пред-Пром: Кредиты ЮЛ
QBI_ACC                                            !UFIP_SRV                                          Активы ЮЛ для BI отчетности блока Финансы
QBI_ARC                                            !UFIP_SRV                                          Активы ФЛ для BI отчетности блока Финансы
QBI_LBCC                                           !UFIP_SRV                                          Пассивы ЮЛ для BI отчетности блока Финансы
QBI_LBRC                                           !UFIP_SRV                                          Пассивы ФЛ для BI отчетности блока Финансы
QBI_NCF                                            !UFIP_SRV                                          НКД для BI отчетности блока Финансы
RAROC                                              !UFIP_SRV                                          RAROC для УФИП
RATES                                              !GRD                                               ГНСИ. Курсы валют, ставки внешних регуляторов
RBKPI                                              !RETAIL_CLIENT                                     Legacy-витрина KPI Розничного блока
RCFR                                               !RETAIL_CLIENT                                     Сводный финансовый результат по клиентам ФЛ
RDMGR                                              !GRD                                               ГНСИ. Менеджер измерений
REALTY                                             !OTHER                                             Недвижимость
REALTY2                                            !OTHER                                             Недвижимость v2
RLOC                                               !RETAIL_LIAB                                       Аккредитивы ФЛ
RORWA_DETAIL                                       !OTHER                                             RORWA по клиенту
RORWA_SUMMARY                                      !OTHER                                             Сводная витрина данных RORWA
RT_ORC                                             !TRASH                                             Оркестровка оперативной отчетности
RT_SRC                                             !TRASH                                             Статус источников данных RT
SAFE                                               !OTHER                                             Сейфы
SAL                                                !RETAIL_TRN                                        Зарплатные проекты
SAU                                                !MON                                               Аудит решений MIS
SAVES                                              !RETAIL_LIAB                                       Сберсертификаты
SFRCC                                              !CORP_CLIENT                                       Сводный финансовый результат по клиентам ЮЛ
SIZING                                             !KERNEL                                            Сайзинг
SKD                                                !CORP_ASSET                                        Совокупный кредитный доход
SQLSRV_UTL                                         !KERNEL                                            SQLServer-утилиты
SUBORG                                             !SUMMARY_RPT                                       Показатели отчетности из внешних источников: ДЗО
TACC                                               !CORP_CLIENT                                       Проблемные активы КБ
TARC                                               !RETAIL_ASSET                                      Проблемные активы ФЛ (УРПА)
TDUTL                                              !KERNEL                                            Терадата-утилиты
TEST                                               !TEST                                              Тестовые модули
TRASH                                              !TRASH                                             Модули на удаление
TRP2P                                              !RETAIL_TRN                                        Переводы ФЛ 2.0
UFIP_MSR                                           !UFIP_SRV                                          Показатели УФИП-отчетности
UMON                                               !KERNEL                                            Update Monitor
UPC                                                !CORP_CLIENT                                       Сделки УТФиКО
USERSTAT                                           !KERNEL                                            Статистика использования данных Платформы MIS
USL                                                !SUMMARY_RPT                                       Озеро показателей MIS
WELP                                               !RETAIL_LIAB                                       Бюджетные начисления

