"scode","schaincode","sdescription"
OAC,!!CONS|!SUMMARY_RPT|OAC,Оперативный бухгалтерский куб
OFD,!!CONS|!OTHER|OFD,Доходные договоры ВХД
OFD2,!!CONS|!OTHER|OFD2,Доходные договоры ВХД v2
OLAP,!!BASE|!KERNEL_OLAP|OLAP,OLAP-платформа
OLAP_APP,!!BASE|!KERNEL_OLAP|OLAP_APP,Прикладные OLAP-кубы
OPEX_DRV,!!CONS|!OPEX|OPEX_DRV,Драйверы аллокации показателей управленческой отчетности
OPEX_DRV2,!!CONS|!OPEX|OPEX_DRV2,Драйверы аллокации показателей управленческой отчетности v2
OPEX_FA,!!CONS|!OPEX|OPEX_FA,Операционные расходы в разрезах УФК (Быстрая аллокация)
OPEX_RB,!!CONS|!OPEX|OPEX_RB,Операционные расходы РБ в разрезах MIS
OPEX_SUMMARY,!!CONS|!OPEX|OPEX_SUMMARY,Консолидированная отчетность по операционным расходам
OPEXCLI,!!CONS|!OPEX|OPEXCLI,Аллокация расходов до клиента КИБ
OPEXCLI2,!!CONS|!OPEX|OPEXCLI2,Аллокация расходов до клиента КИБ v2
OPSDRV,!!CORP|!CORP_CLIENT|OPSDRV,Показатели операционной деятельности и драйверы аллокации расходов КИБ
PATCHLIB,!!BASE|!KERNEL|PATCHLIB,Библиотека процедур для изменения метаданных в патчах
PAY,!!RETAIL|!RETAIL_TRN|PAY, Платежи ФЛ
PL,!!CORP|!CORP_CLIENT|PL,Детальный ОПУ
PL_OTH,!!CONS|!MIDDLEWARE|PL_OTH,Прочие корректировки PL
PL2,!!CORP|!CORP_CLIENT|PL2,Детальный ОПУ v2
PLAN_FCST,!!CONS|!SUMMARY_RPT|PLAN_FCST,Показатели отчетности из внешних источников: План/Прогноз
PNT,!!RETAIL|!RETAIL_TRN|PNT,Legacy платежи и переводы ФЛ
PRE_LCC,!!PRE_CORP|!PRE_CORP_ASSET|PRE_LCC,Пред-Пром: Кредиты ЮЛ
QBI_ACC,!!VIS|!UFIP_SRV|QBI_ACC,Активы ЮЛ для BI отчетности блока Финансы
QBI_ARC,!!VIS|!UFIP_SRV|QBI_ARC,Активы ФЛ для BI отчетности блока Финансы
QBI_LBCC,!!VIS|!UFIP_SRV|QBI_LBCC,Пассивы ЮЛ для BI отчетности блока Финансы
QBI_LBRC,!!VIS|!UFIP_SRV|QBI_LBRC,Пассивы ФЛ для BI отчетности блока Финансы
RAROC,!!VIS|!UFIP_SRV|RAROC,RAROC для УФИП
RATES,!!BASE|!GRD|RATES,"ГНСИ. Курсы валют, ставки внешних регуляторов"
RBKPI,!!RETAIL|!RETAIL_CLIENT|RBKPI,Legacy-витрина KPI Розничного блока
RCFR,!!RETAIL|!RETAIL_CLIENT|RCFR,Сводный финансовый результат по клиентам ФЛ
RDMGR,!!BASE|!GRD|RDMGR,ГНСИ. Менеджер измерений
REALTY,!!CONS|!OTHER|REALTY,Недвижимость
REALTY2,!!CONS|!OTHER|REALTY2,Недвижимость v2
RLOC,!!RETAIL|!RETAIL_LIAB|RLOC,Аккредитивы ФЛ
RORWA_DETAIL,!!CONS|!OTHER|RORWA_DETAIL,RORWA по клиенту
RORWA_SUMMARY,!!CONS|!OTHER|RORWA_SUMMARY,Сводная витрина данных RORWA
RT_ORC,!!PROTO|!TRASH|RT_ORC,Оркестровка оперативной отчетности
RT_SRC,!!PROTO|!TRASH|RT_SRC,Статус источников данных RT
SAFE,!!CONS|!OTHER|SAFE,Сейфы
SAL,!!RETAIL|!RETAIL_TRN|SAL,Зарплатные проекты
SAU,!!BASE|!MON|SAU,Аудит решений MIS
SFRCC,!!CORP|!CORP_CLIENT|SFRCC,Сводный финансовый результат по клиентам ЮЛ
SIZING,!!BASE|!KERNEL|SIZING,Сайзинг
SKD,!!CORP|!CORP_ASSET|SKD,Совокупный кредитный доход
SQLSRV_UTL,!!BASE|!KERNEL|SQLSRV_UTL,SQLServer-утилиты
SUBORG,!!CONS|!SUMMARY_RPT|SUBORG,Показатели отчетности из внешних источников: ДЗО
TACC,!!CORP|!CORP_CLIENT|TACC,Проблемные активы КБ
TARC,!!RETAIL|!RETAIL_ASSET|TARC,Проблемные активы ФЛ (УРПА)
TDUTL,!!BASE|!KERNEL|TDUTL,Терадата-утилиты
TEST,!!BASE|!TEST|TEST,Тестовые модули
TRASH,!!PROTO|!TRASH|TRASH,Модули на удаление
TRP2P,!!RETAIL|!RETAIL_TRN|TRP2P,Переводы ФЛ 2.0
UFIP_MSR,!!VIS|!UFIP_SRV|UFIP_MSR,Показатели УФИП-отчетности
UMON,!!BASE|!KERNEL|UMON,Update Monitor
UPC,!!CORP|!CORP_CLIENT|UPC,Сделки УТФиКО
USERSTAT,!!BASE|!KERNEL|USERSTAT,Статистика использования данных Платформы MIS
USL,!!CONS|!SUMMARY_RPT|USL,Озеро показателей MIS
WELP,!!RETAIL|!RETAIL_LIAB|WELP,Бюджетные начисления
